,Acquisition,Contrast,Path,Run,Session,Subject,Task,Mean Significance,Median Significance,Processing,Template,Uid
2,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4001/ses-ofMaF/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMaF,4001,JogB,3.9199974060058596,2.6692910194396973,Generic,Legacy,4001_ofMaF_bold
3,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4001/ses-ofMaF/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMaF,4001,JogB,1.6128870010375977,1.1777642965316772,Generic,Legacy,4001_ofMaF_cbv
4,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4001/ses-ofMcF1/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMcF1,4001,JogB,5.836760711669922,4.974549293518066,Generic,Legacy,4001_ofMcF1_bold
5,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4001/ses-ofMcF1/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMcF1,4001,JogB,4.009281158447266,2.7887816429138184,Generic,Legacy,4001_ofMcF1_cbv
6,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4001/ses-ofMcF2/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMcF2,4001,JogB,3.4603221893310545,2.1378016471862793,Generic,Legacy,4001_ofMcF2_bold
7,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4001/ses-ofMcF2/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMcF2,4001,JogB,2.253091049194336,1.834130048751831,Generic,Legacy,4001_ofMcF2_cbv
8,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4002/ses-ofM/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofM,4002,JogB,2.721100425720215,2.1699767112731934,Generic,Legacy,4002_ofM_bold
9,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4002/ses-ofM/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofM,4002,JogB,2.324978828430176,1.788199782371521,Generic,Legacy,4002_ofM_cbv
10,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4004/ses-ofM/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofM,4004,JogB,1.5647438049316407,1.110741376876831,Generic,Legacy,4004_ofM_bold
11,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4004/ses-ofM/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofM,4004,JogB,2.1590747833251953,1.8322374820709229,Generic,Legacy,4004_ofM_cbv
12,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4005/ses-ofM/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofM,4005,JogB,4.073294830322266,3.2582783699035645,Generic,Legacy,4005_ofM_bold
13,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4005/ses-ofM/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofM,4005,JogB,1.9847414016723632,1.4744024276733398,Generic,Legacy,4005_ofM_cbv
14,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4005/ses-ofMaF/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMaF,4005,JogB,2.1966428756713867,1.6649715900421143,Generic,Legacy,4005_ofMaF_bold
15,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4005/ses-ofMaF/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMaF,4005,JogB,1.3358108520507812,1.1699650287628174,Generic,Legacy,4005_ofMaF_cbv
16,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4006/ses-ofM/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofM,4006,JogB,1.9300670623779297,1.1709007024765015,Generic,Legacy,4006_ofM_bold
17,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4006/ses-ofM/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofM,4006,JogB,1.7870855086889021,1.526989221572876,Generic,Legacy,4006_ofM_cbv
18,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofM/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofM,4007,JogB,1.875768280029297,1.4701288938522339,Generic,Legacy,4007_ofM_bold
19,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofM/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofM,4007,JogB,2.202302932739258,1.8215609788894653,Generic,Legacy,4007_ofM_cbv
20,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMaF/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMaF,4007,JogB,2.322722053527832,1.6443650722503662,Generic,Legacy,4007_ofMaF_bold
21,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMaF/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMaF,4007,JogB,1.8251728057861327,1.0077348947525024,Generic,Legacy,4007_ofMaF_cbv
22,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMcF1/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMcF1,4007,JogB,1.9899394989013672,1.5226709842681885,Generic,Legacy,4007_ofMcF1_bold
23,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMcF1/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMcF1,4007,JogB,2.3199783325195313,1.3942785263061523,Generic,Legacy,4007_ofMcF1_cbv
24,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMcF2/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMcF2,4007,JogB,2.0993721008300783,1.5742437839508057,Generic,Legacy,4007_ofMcF2_bold
25,EPIlowcov,CBV,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMcF2/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv_pfstat.nii.gz,1,ofMcF2,4007,JogB,3.085849380493164,2.364696979522705,Generic,Legacy,4007_ofMcF2_cbv
26,EPIlowcov,BOLD,/home/chymera/ni_data/ofM.dr/l1/generic_ambmc/sub-4007/ses-ofMpF/sub-4007_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold_pfstat.nii.gz,0,ofMpF,4007,JogB,1.9130378723144532,1.2597813606262207,Generic,Legacy,4007_ofMpF_bold
