,acquisition,path,Session,CC,Subject,GC,MI,Processing
29,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofM/func/sub-4008_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.507242,4008,-0.38423,-0.104546,Generic
30,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.53446,4008,-0.427084,-0.127971,Generic
31,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.518101,4008,-0.392899,-0.110347,Generic
32,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.537382,4008,-0.425865,-0.123367,Generic
33,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.515065,4008,-0.401099,-0.114576,Generic
34,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMcF2/func/sub-4008_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.536877,4008,-0.418584,-0.126165,Generic
35,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMcF2/func/sub-4008_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.510958,4008,-0.397732,-0.110955,Generic
36,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMpF/func/sub-4008_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMpF,-0.53964,4008,-0.422071,-0.13245,Generic
37,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofMpF/func/sub-4008_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMpF,-0.486281,4008,-0.348632,-0.0929311,Generic
38,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofM/func/sub-4009_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.528536,4009,-0.431874,-0.131288,Generic
