,acquisition,path,session,CC,subject,GC,MI,Processing
48,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.494165,4011,-0.382522,-0.10655,Generic
49,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.467313,4011,-0.349153,-0.0945521,Generic
50,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.512359,4011,-0.389756,-0.104669,Generic
51,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.484231,4011,-0.317452,-0.0745524,Generic
52,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.544463,4011,-0.452547,-0.146624,Generic
53,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.508401,4011,-0.381486,-0.107329,Generic
54,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.537096,4011,-0.421165,-0.130987,Generic
55,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.474419,4011,-0.336115,-0.0898066,Generic
56,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.502763,4012,-0.41994,-0.131493,Generic
57,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.456735,4012,-0.334967,-0.0915792,Generic
58,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.532455,4012,-0.425719,-0.125884,Generic
59,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.507423,4012,-0.37657,-0.104401,Generic
60,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.52614,4012,-0.406219,-0.124269,Generic
61,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.518222,4012,-0.393009,-0.115461,Generic
62,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.524228,4012,-0.426646,-0.136064,Generic
63,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.507923,4012,-0.396956,-0.1191,Generic
64,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMpF,-0.514429,4012,-0.407431,-0.120147,Generic
65,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMpF,-0.483534,4012,-0.347566,-0.0863193,Generic
66,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.491608,4013,-0.413597,-0.11235,Generic
